couleur_gauche;couleur_toit;toit_ouvrant;couleur_capot;sono;couleur_hayon;couleur_droite;
noir;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;noir;1;noir;0;noir;noir;
blanc;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;noir;1;noir;0;noir;rouge;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
noir;blanc;1;blanc;0;blanc;blanc;
noir;rouge;0;rouge;1;rouge;rouge;
noir;rouge;0;noir;1;blanc;noir;
noir;rouge;0;rouge;1;rouge;blanc;
rouge;noir;1;noir;0;noir;noir;
rouge;noir;1;noir;0;noir;noir;
noir;noir;0;noir;0;noir;rouge;
noir;noir;0;rouge;1;rouge;blanc;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;noir;1;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
noir;rouge;0;rouge;1;rouge;rouge;
blanc;noir;1;noir;0;noir;noir;
noir;blanc;1;blanc;0;blanc;blanc;
rouge;noir;0;blanc;1;noir;noir;
noir;rouge;1;rouge;0;blanc;rouge;
rouge;noir;1;blanc;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;noir;
noir;noir;0;noir;0;noir;rouge;
noir;blanc;0;blanc;1;blanc;blanc;
noir;noir;0;noir;1;noir;rouge;
noir;noir;0;noir;0;noir;noir;
blanc;blanc;0;blanc;0;blanc;blanc;
blanc;noir;0;noir;1;rouge;noir;
rouge;blanc;0;blanc;0;blanc;blanc;
rouge;noir;0;noir;0;noir;noir;
blanc;rouge;1;rouge;1;rouge;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
noir;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;rouge;1;rouge;0;noir;rouge;
rouge;noir;0;noir;0;noir;noir;
blanc;noir;0;noir;0;noir;blanc;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;0;rouge;0;rouge;rouge;
noir;noir;1;noir;1;rouge;blanc;
blanc;rouge;1;noir;1;noir;noir;
blanc;noir;1;noir;0;noir;noir;
noir;noir;0;noir;1;noir;noir;
blanc;noir;0;noir;1;noir;noir;
noir;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;noir;
blanc;blanc;0;blanc;1;blanc;noir;
blanc;blanc;0;blanc;1;blanc;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;noir;1;noir;0;noir;noir;
noir;blanc;0;noir;1;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;1;rouge;1;rouge;noir;
blanc;rouge;1;rouge;0;rouge;rouge;
noir;blanc;0;blanc;0;blanc;blanc;
blanc;blanc;0;blanc;0;blanc;noir;
noir;noir;1;noir;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;blanc;
noir;noir;0;noir;0;noir;noir;
noir;noir;0;noir;1;noir;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;blanc;1;blanc;0;blanc;noir;
noir;noir;1;noir;0;noir;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;blanc;1;blanc;0;blanc;blanc;
noir;noir;0;noir;0;noir;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;rouge;0;rouge;0;rouge;noir;
rouge;noir;1;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;noir;1;noir;0;noir;noir;
blanc;noir;0;noir;0;noir;noir;
rouge;rouge;0;blanc;0;rouge;rouge;
rouge;noir;1;noir;0;noir;noir;
blanc;noir;0;noir;1;noir;noir;
blanc;blanc;0;blanc;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;1;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;blanc;1;blanc;0;blanc;blanc;
rouge;blanc;0;blanc;1;blanc;blanc;
rouge;noir;0;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;noir;0;noir;1;noir;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;noir;1;rouge;blanc;
blanc;blanc;1;blanc;0;rouge;rouge;
blanc;noir;1;noir;0;noir;noir;
rouge;rouge;1;noir;0;rouge;noir;
noir;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;1;blanc;1;blanc;noir;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;noir;0;noir;1;noir;noir;
blanc;blanc;1;blanc;0;blanc;noir;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;0;blanc;0;blanc;noir;
noir;noir;0;noir;0;noir;blanc;
noir;noir;0;rouge;1;noir;noir;
noir;noir;0;rouge;1;rouge;blanc;
noir;noir;1;noir;0;noir;rouge;
noir;noir;1;noir;0;noir;noir;
noir;noir;1;noir;0;noir;blanc;
blanc;rouge;0;rouge;1;rouge;rouge;
noir;noir;0;noir;1;noir;rouge;
rouge;rouge;1;rouge;0;rouge;noir;
noir;noir;0;noir;1;noir;noir;
rouge;rouge;1;rouge;0;rouge;noir;
noir;noir;1;noir;0;noir;blanc;
blanc;blanc;0;blanc;1;blanc;blanc;
blanc;rouge;0;blanc;0;rouge;blanc;
noir;rouge;0;rouge;1;rouge;rouge;
noir;noir;1;noir;0;noir;blanc;
blanc;blanc;1;blanc;0;blanc;noir;
noir;blanc;0;noir;0;noir;blanc;
noir;noir;1;noir;0;noir;rouge;
blanc;rouge;1;rouge;0;rouge;rouge;
noir;rouge;0;rouge;1;blanc;noir;
noir;blanc;1;blanc;0;rouge;noir;
rouge;noir;1;noir;0;noir;noir;
blanc;rouge;1;blanc;1;rouge;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
noir;noir;0;noir;1;noir;blanc;
noir;noir;0;noir;1;noir;noir;
noir;noir;1;noir;0;noir;rouge;
noir;noir;0;noir;0;noir;rouge;
rouge;rouge;1;rouge;0;rouge;blanc;
blanc;noir;0;noir;1;noir;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;rouge;0;rouge;0;rouge;rouge;
noir;noir;1;noir;0;noir;blanc;
blanc;blanc;0;blanc;0;blanc;noir;
blanc;noir;0;noir;0;noir;noir;
noir;noir;1;noir;0;noir;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;rouge;1;noir;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;noir;
rouge;rouge;0;rouge;0;rouge;noir;
rouge;rouge;1;rouge;0;rouge;noir;
rouge;rouge;0;rouge;0;rouge;rouge;
rouge;noir;0;rouge;1;noir;noir;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;blanc;0;blanc;1;blanc;blanc;
blanc;noir;0;noir;1;noir;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
blanc;noir;0;rouge;1;blanc;rouge;
rouge;noir;0;noir;1;noir;noir;
blanc;rouge;1;noir;0;rouge;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;rouge;0;rouge;0;rouge;rouge;
noir;blanc;0;blanc;1;blanc;blanc;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;1;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;rouge;1;noir;0;noir;rouge;
noir;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;0;rouge;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;blanc;0;blanc;1;blanc;blanc;
noir;noir;1;noir;0;noir;noir;
noir;rouge;0;noir;0;noir;blanc;
blanc;blanc;0;blanc;1;blanc;blanc;
noir;rouge;1;rouge;0;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
blanc;blanc;0;rouge;0;blanc;rouge;
rouge;noir;1;noir;0;noir;noir;
rouge;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;blanc;rouge;
blanc;noir;1;noir;0;noir;noir;
noir;noir;0;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;0;rouge;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;rouge;1;rouge;0;blanc;noir;
noir;noir;0;noir;1;noir;noir;
noir;noir;0;noir;1;noir;blanc;
blanc;blanc;0;blanc;1;blanc;blanc;
blanc;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
rouge;noir;1;noir;1;noir;noir;
rouge;rouge;1;rouge;0;rouge;rouge;
noir;rouge;0;noir;0;rouge;blanc;
blanc;blanc;0;blanc;0;blanc;rouge;
rouge;blanc;0;noir;1;rouge;blanc;
rouge;rouge;0;noir;0;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;0;blanc;noir;
noir;noir;1;noir;0;noir;blanc;
blanc;blanc;1;blanc;0;blanc;rouge;
noir;noir;0;noir;1;noir;rouge;
noir;noir;1;noir;0;noir;rouge;
blanc;blanc;0;blanc;0;blanc;rouge;
blanc;blanc;1;blanc;0;blanc;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;noir;1;noir;0;noir;noir;
blanc;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;0;rouge;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
noir;noir;1;noir;1;noir;blanc;
noir;noir;0;noir;0;noir;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
noir;noir;1;noir;0;noir;noir;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;noir;0;noir;0;noir;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;rouge;0;blanc;1;blanc;rouge;
rouge;noir;1;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;blanc;
blanc;blanc;0;blanc;1;blanc;noir;
rouge;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
blanc;blanc;1;blanc;1;blanc;noir;
rouge;rouge;0;rouge;0;rouge;blanc;
rouge;rouge;0;rouge;0;rouge;rouge;
blanc;rouge;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;0;blanc;noir;
rouge;blanc;0;blanc;1;blanc;blanc;
noir;rouge;1;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;blanc;
blanc;noir;0;blanc;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;blanc;0;blanc;1;blanc;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
blanc;noir;0;noir;1;noir;noir;
noir;rouge;0;rouge;1;blanc;noir;
blanc;blanc;0;blanc;1;blanc;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
noir;rouge;0;rouge;1;rouge;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;1;rouge;0;rouge;noir;
noir;noir;0;noir;0;noir;rouge;
noir;noir;0;noir;0;noir;rouge;
noir;noir;1;noir;0;noir;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;rouge;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;noir;0;noir;1;noir;rouge;
blanc;blanc;0;blanc;1;rouge;blanc;
rouge;noir;1;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;1;rouge;0;rouge;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;blanc;0;blanc;1;blanc;blanc;
blanc;rouge;0;rouge;1;rouge;rouge;
noir;noir;0;noir;1;noir;noir;
noir;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;0;rouge;0;rouge;blanc;
noir;noir;0;noir;1;noir;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;rouge;0;rouge;0;rouge;rouge;
noir;noir;0;noir;1;noir;noir;
rouge;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;blanc;rouge;
blanc;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;blanc;0;blanc;0;blanc;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
blanc;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;rouge;1;rouge;0;blanc;rouge;
noir;noir;0;noir;0;noir;blanc;
rouge;rouge;1;rouge;0;noir;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;1;blanc;1;blanc;rouge;
noir;rouge;0;rouge;0;rouge;rouge;
noir;noir;0;noir;0;noir;blanc;
rouge;rouge;1;rouge;1;rouge;rouge;
blanc;rouge;0;noir;1;blanc;noir;
noir;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;blanc;
blanc;blanc;0;blanc;1;blanc;noir;
noir;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;noir;0;noir;0;noir;noir;
noir;rouge;1;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
noir;noir;0;noir;1;noir;blanc;
rouge;rouge;0;rouge;0;rouge;blanc;
blanc;noir;0;noir;1;noir;noir;
noir;blanc;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;rouge;0;rouge;0;rouge;rouge;
rouge;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
noir;blanc;0;blanc;1;blanc;blanc;
noir;rouge;0;rouge;0;rouge;rouge;
rouge;noir;1;noir;0;blanc;noir;
rouge;blanc;1;blanc;0;blanc;blanc;
blanc;blanc;0;blanc;1;blanc;rouge;
rouge;rouge;1;rouge;0;rouge;blanc;
noir;noir;0;blanc;0;noir;rouge;
rouge;noir;1;rouge;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;noir;
blanc;blanc;0;blanc;1;blanc;noir;
rouge;rouge;0;noir;1;noir;noir;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;rouge;1;rouge;0;rouge;rouge;
noir;noir;0;noir;0;noir;rouge;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;noir;0;noir;1;noir;noir;
blanc;rouge;0;rouge;0;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;noir;
blanc;noir;1;noir;0;noir;noir;
noir;rouge;0;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;blanc;
rouge;rouge;0;noir;1;rouge;noir;
noir;rouge;0;rouge;1;rouge;rouge;
noir;noir;1;noir;0;rouge;noir;
rouge;blanc;0;rouge;1;noir;rouge;
blanc;blanc;0;rouge;1;blanc;blanc;
blanc;blanc;0;blanc;1;blanc;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
rouge;rouge;1;noir;0;noir;rouge;
blanc;noir;0;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;blanc;
noir;rouge;0;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;noir;
noir;noir;1;noir;0;noir;blanc;
noir;blanc;1;blanc;0;noir;rouge;
noir;noir;0;noir;0;noir;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;rouge;0;rouge;1;rouge;rouge;
noir;blanc;1;blanc;0;blanc;rouge;
blanc;blanc;0;blanc;1;blanc;noir;
noir;blanc;0;blanc;0;blanc;blanc;
blanc;rouge;0;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
rouge;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;rouge;
noir;blanc;1;blanc;0;blanc;rouge;
blanc;rouge;0;rouge;0;rouge;rouge;
noir;blanc;1;blanc;0;blanc;blanc;
noir;noir;0;noir;1;noir;rouge;
noir;blanc;0;blanc;1;blanc;blanc;
blanc;blanc;0;blanc;1;blanc;rouge;
blanc;noir;0;noir;0;noir;noir;
blanc;rouge;0;blanc;1;rouge;rouge;
noir;noir;0;noir;0;noir;blanc;
blanc;rouge;0;rouge;0;rouge;rouge;
blanc;blanc;0;blanc;0;blanc;noir;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;blanc;0;blanc;1;blanc;blanc;
blanc;noir;1;noir;0;noir;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;1;rouge;0;rouge;rouge;
rouge;blanc;0;blanc;1;blanc;blanc;
noir;noir;0;noir;0;noir;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;1;rouge;1;rouge;noir;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;noir;0;rouge;0;rouge;rouge;
blanc;blanc;1;blanc;0;blanc;blanc;
noir;rouge;0;rouge;1;blanc;rouge;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;blanc;0;blanc;0;blanc;blanc;
noir;rouge;0;rouge;1;rouge;rouge;
noir;noir;1;noir;0;noir;blanc;
noir;noir;0;noir;1;noir;rouge;
rouge;noir;0;noir;1;noir;noir;
rouge;rouge;0;rouge;1;rouge;noir;
noir;noir;0;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;blanc;
noir;blanc;0;rouge;0;rouge;blanc;
blanc;blanc;0;blanc;0;blanc;blanc;
blanc;blanc;0;blanc;0;blanc;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;blanc;
blanc;noir;0;noir;1;noir;noir;
blanc;rouge;1;rouge;0;rouge;rouge;
rouge;noir;0;noir;1;noir;noir;
blanc;noir;1;noir;0;noir;noir;
noir;rouge;0;rouge;1;rouge;rouge;
noir;rouge;1;rouge;0;rouge;rouge;
rouge;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;rouge;1;blanc;0;rouge;rouge;
rouge;blanc;0;blanc;0;blanc;blanc;
noir;blanc;0;rouge;0;rouge;rouge;
noir;rouge;0;rouge;1;rouge;rouge;
blanc;noir;0;noir;0;noir;noir;
noir;noir;0;noir;1;noir;blanc;
blanc;blanc;1;blanc;0;blanc;blanc;
rouge;noir;1;noir;0;noir;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
noir;rouge;1;rouge;0;rouge;blanc;
noir;rouge;0;noir;0;noir;blanc;
noir;noir;0;noir;1;noir;noir;
noir;rouge;1;rouge;0;rouge;rouge;
rouge;noir;0;rouge;1;rouge;noir;
noir;noir;0;noir;0;noir;rouge;
noir;noir;1;noir;0;noir;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;noir;0;noir;1;noir;noir;
noir;rouge;1;rouge;0;rouge;rouge;
blanc;rouge;0;rouge;1;noir;rouge;
rouge;noir;0;noir;0;noir;noir;
noir;noir;0;noir;1;noir;rouge;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;blanc;
blanc;noir;0;noir;0;noir;noir;
rouge;blanc;0;blanc;1;blanc;blanc;
noir;blanc;0;blanc;1;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;0;blanc;0;blanc;rouge;
noir;noir;0;noir;0;noir;blanc;
blanc;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;blanc;1;rouge;blanc;
noir;noir;0;noir;0;noir;noir;
rouge;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;noir;1;noir;0;noir;noir;
noir;rouge;1;noir;0;noir;blanc;
noir;noir;0;noir;0;noir;blanc;
noir;noir;0;noir;1;noir;blanc;
rouge;rouge;0;rouge;0;rouge;rouge;
blanc;rouge;1;rouge;1;blanc;rouge;
noir;noir;1;blanc;0;noir;rouge;
blanc;blanc;0;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;noir;
blanc;rouge;0;rouge;1;rouge;noir;
noir;noir;0;noir;1;noir;noir;
noir;rouge;0;rouge;1;rouge;rouge;
noir;noir;0;noir;1;blanc;rouge;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;1;rouge;0;rouge;noir;
blanc;blanc;1;blanc;0;blanc;noir;
noir;blanc;0;rouge;1;noir;rouge;
blanc;blanc;0;blanc;1;blanc;rouge;
rouge;blanc;0;rouge;1;blanc;rouge;
rouge;blanc;0;blanc;1;blanc;blanc;
noir;noir;1;noir;0;noir;blanc;
rouge;rouge;1;rouge;0;rouge;noir;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
noir;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;0;blanc;1;blanc;rouge;
noir;blanc;1;noir;0;rouge;blanc;
noir;noir;0;noir;0;noir;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
rouge;rouge;1;rouge;0;rouge;noir;
noir;rouge;0;rouge;0;rouge;rouge;
blanc;blanc;1;blanc;0;blanc;noir;
rouge;blanc;0;blanc;0;blanc;blanc;
blanc;noir;0;noir;0;noir;noir;
noir;noir;0;noir;0;noir;blanc;
noir;noir;1;noir;0;noir;noir;
noir;noir;0;noir;1;noir;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;rouge;0;rouge;1;noir;noir;
noir;blanc;1;blanc;0;blanc;blanc;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;0;rouge;rouge;
blanc;noir;0;noir;0;noir;noir;
blanc;blanc;0;blanc;0;blanc;noir;
noir;noir;1;noir;0;noir;blanc;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
noir;blanc;1;blanc;0;blanc;blanc;
rouge;rouge;1;rouge;0;rouge;blanc;
noir;blanc;0;blanc;1;noir;blanc;
rouge;noir;0;noir;0;noir;noir;
blanc;blanc;0;noir;0;blanc;blanc;
noir;rouge;1;rouge;1;rouge;rouge;
noir;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
blanc;rouge;1;rouge;0;rouge;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;0;blanc;1;blanc;rouge;
rouge;rouge;0;rouge;1;rouge;noir;
rouge;rouge;0;rouge;0;rouge;rouge;
noir;blanc;0;blanc;0;blanc;blanc;
blanc;blanc;0;blanc;0;blanc;rouge;
blanc;noir;0;noir;1;noir;noir;
noir;noir;1;noir;0;noir;noir;
rouge;rouge;0;rouge;0;rouge;blanc;
noir;rouge;0;blanc;1;blanc;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
noir;noir;0;noir;1;noir;noir;
rouge;blanc;1;noir;1;blanc;blanc;
noir;rouge;0;rouge;0;rouge;rouge;
blanc;rouge;1;rouge;0;rouge;rouge;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;blanc;1;blanc;0;blanc;rouge;
rouge;rouge;1;rouge;0;rouge;noir;
rouge;blanc;1;blanc;0;blanc;blanc;
blanc;noir;0;noir;0;noir;noir;
noir;noir;0;noir;1;noir;rouge;
blanc;blanc;0;blanc;1;blanc;rouge;
blanc;noir;0;noir;0;noir;noir;
noir;rouge;1;noir;0;blanc;rouge;
blanc;noir;0;noir;1;noir;rouge;
rouge;blanc;0;blanc;0;blanc;blanc;
blanc;noir;0;noir;0;noir;noir;
rouge;rouge;0;rouge;1;rouge;blanc;
noir;noir;1;noir;0;noir;noir;
noir;noir;0;noir;0;noir;noir;
noir;noir;1;noir;1;noir;blanc;
rouge;rouge;0;rouge;1;rouge;noir;
blanc;blanc;0;blanc;0;blanc;noir;
noir;noir;0;noir;0;noir;rouge;
blanc;blanc;0;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
rouge;blanc;0;noir;0;noir;noir;
noir;blanc;0;blanc;1;blanc;blanc;
rouge;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;noir;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;blanc;1;blanc;1;blanc;blanc;
noir;blanc;0;blanc;1;blanc;blanc;
noir;noir;0;noir;1;noir;blanc;
rouge;blanc;1;blanc;0;blanc;blanc;
blanc;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;noir;
blanc;rouge;0;rouge;1;rouge;rouge;
noir;noir;0;noir;1;noir;noir;
blanc;blanc;0;blanc;1;blanc;noir;
blanc;rouge;0;rouge;0;rouge;rouge;
rouge;noir;0;noir;1;noir;noir;
blanc;rouge;0;noir;1;noir;rouge;
noir;noir;0;noir;0;noir;blanc;
blanc;rouge;1;rouge;0;rouge;rouge;
blanc;noir;1;noir;1;noir;noir;
blanc;blanc;0;blanc;1;blanc;blanc;
noir;noir;1;noir;0;noir;rouge;
rouge;rouge;0;rouge;1;rouge;rouge;
rouge;noir;0;noir;0;noir;noir;
noir;rouge;0;rouge;1;rouge;rouge;
noir;rouge;1;rouge;1;rouge;blanc;
rouge;blanc;0;blanc;1;rouge;blanc;
rouge;noir;0;noir;0;rouge;noir;
rouge;rouge;1;rouge;0;rouge;rouge;
noir;rouge;1;rouge;0;rouge;noir;
noir;rouge;1;rouge;0;rouge;rouge;
blanc;noir;0;noir;1;noir;noir;
noir;noir;1;noir;0;noir;blanc;
blanc;blanc;1;blanc;0;blanc;noir;
blanc;rouge;0;rouge;0;blanc;rouge;
blanc;blanc;1;blanc;0;blanc;blanc;
noir;rouge;1;rouge;0;rouge;rouge;
noir;blanc;1;blanc;0;blanc;blanc;
noir;noir;1;noir;0;noir;noir;
blanc;blanc;0;blanc;0;blanc;noir;
blanc;noir;1;noir;0;noir;blanc;
noir;blanc;0;blanc;0;blanc;blanc;
